Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2024-07-14 16:00:00-05:00,2024-07-14 16:00:00-05:00,2024-07-14 17:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,30.96
2024-07-14 17:00:00-05:00,2024-07-14 17:00:00-05:00,2024-07-14 18:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,32.07
2024-07-14 18:00:00-05:00,2024-07-14 18:00:00-05:00,2024-07-14 19:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,32.56
2024-07-14 19:00:00-05:00,2024-07-14 19:00:00-05:00,2024-07-14 20:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,34.93
2024-07-14 20:00:00-05:00,2024-07-14 20:00:00-05:00,2024-07-14 21:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,34.34
2024-07-14 21:00:00-05:00,2024-07-14 21:00:00-05:00,2024-07-14 22:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,23.27
2024-07-14 22:00:00-05:00,2024-07-14 22:00:00-05:00,2024-07-14 23:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.78
2024-07-14 23:00:00-05:00,2024-07-14 23:00:00-05:00,2024-07-15 00:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,14.8
2024-07-15 00:00:00-05:00,2024-07-15 00:00:00-05:00,2024-07-15 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.71
2024-07-15 01:00:00-05:00,2024-07-15 01:00:00-05:00,2024-07-15 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.06
2024-07-15 02:00:00-05:00,2024-07-15 02:00:00-05:00,2024-07-15 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.11
2024-07-15 03:00:00-05:00,2024-07-15 03:00:00-05:00,2024-07-15 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.02
2024-07-15 04:00:00-05:00,2024-07-15 04:00:00-05:00,2024-07-15 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,11.76
2024-07-15 05:00:00-05:00,2024-07-15 05:00:00-05:00,2024-07-15 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.19
2024-07-15 06:00:00-05:00,2024-07-15 06:00:00-05:00,2024-07-15 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.88
