interval_start_utc,interval_end_utc,location,lmp_dam,lmp_rt
2024-01-11 04:00:00+00:00,2024-01-11 05:00:00+00:00,HB_NORTH,19.7300000000000000,19.9333333333333333
2024-01-11 05:00:00+00:00,2024-01-11 06:00:00+00:00,HB_NORTH,19.9300000000000000,22.6383333333333333
2024-01-11 06:00:00+00:00,2024-01-11 07:00:00+00:00,HB_NORTH,20.0500000000000000,21.8166666666666667
2024-01-11 07:00:00+00:00,2024-01-11 08:00:00+00:00,HB_NORTH,19.4400000000000000,21.0008333333333333
2024-01-11 08:00:00+00:00,2024-01-11 09:00:00+00:00,HB_NORTH,18.1100000000000000,19.2450000000000000
2024-01-11 09:00:00+00:00,2024-01-11 10:00:00+00:00,HB_NORTH,17.2000000000000000,17.8400000000000000
2024-01-11 10:00:00+00:00,2024-01-11 11:00:00+00:00,HB_NORTH,16.9300000000000000,18.8458333333333333
2024-01-11 11:00:00+00:00,2024-01-11 12:00:00+00:00,HB_NORTH,19.7200000000000000,22.4491666666666667
2024-01-11 12:00:00+00:00,2024-01-11 13:00:00+00:00,HB_NORTH,28.1800000000000000,23.0625000000000000
2024-01-11 13:00:00+00:00,2024-01-11 14:00:00+00:00,HB_NORTH,27.4200000000000000,21.5741666666666667
2024-01-11 14:00:00+00:00,2024-01-11 15:00:00+00:00,HB_NORTH,23.1600000000000000,17.1608333333333333
2024-01-11 15:00:00+00:00,2024-01-11 16:00:00+00:00,HB_NORTH,17.4500000000000000,14.8200000000000000
2024-01-11 16:00:00+00:00,2024-01-11 17:00:00+00:00,HB_NORTH,15.2000000000000000,7.9166666666666667
2024-01-11 17:00:00+00:00,2024-01-11 18:00:00+00:00,HB_NORTH,9.3200000000000000,0.75833333333333333333
2024-01-11 18:00:00+00:00,2024-01-11 19:00:00+00:00,HB_NORTH,6.0000000000000000,-1.2883333333333333
2024-01-11 19:00:00+00:00,2024-01-11 20:00:00+00:00,HB_NORTH,6.0000000000000000,-3.4100000000000000
2024-01-11 20:00:00+00:00,2024-01-11 21:00:00+00:00,HB_NORTH,6.0000000000000000,-4.7020000000000000
2024-01-11 21:00:00+00:00,2024-01-11 22:00:00+00:00,HB_NORTH,6.4100000000000000,-10.8100000000000000
2024-01-11 22:00:00+00:00,2024-01-11 23:00:00+00:00,HB_NORTH,11.0400000000000000,0.76166666666666666667
2024-01-11 23:00:00+00:00,2024-01-12 00:00:00+00:00,HB_NORTH,19.9800000000000000,16.5450000000000000
2024-01-12 00:00:00+00:00,2024-01-12 01:00:00+00:00,HB_NORTH,21.0100000000000000,20.6525000000000000
2024-01-12 01:00:00+00:00,2024-01-12 02:00:00+00:00,HB_NORTH,19.3500000000000000,18.5225000000000000
2024-01-12 02:00:00+00:00,2024-01-12 03:00:00+00:00,HB_NORTH,18.1100000000000000,12.6408333333333333
2024-01-12 03:00:00+00:00,2024-01-12 04:00:00+00:00,HB_NORTH,16.8700000000000000,15.5733333333333333
2024-01-12 04:00:00+00:00,2024-01-12 05:00:00+00:00,HB_NORTH,12.3500000000000000,4.5275000000000000
2024-01-12 05:00:00+00:00,2024-01-12 06:00:00+00:00,HB_NORTH,9.6200000000000000,-18.1283333333333333
2024-01-12 06:00:00+00:00,2024-01-12 07:00:00+00:00,HB_NORTH,5.5800000000000000,-31.3450000000000000
2024-01-12 07:00:00+00:00,2024-01-12 08:00:00+00:00,HB_NORTH,3.4100000000000000,-31.7183333333333333
2024-01-12 08:00:00+00:00,2024-01-12 09:00:00+00:00,HB_NORTH,2.7600000000000000,-31.7791666666666667
2024-01-12 09:00:00+00:00,2024-01-12 10:00:00+00:00,HB_NORTH,2.8700000000000000,-31.6750000000000000
2024-01-12 10:00:00+00:00,2024-01-12 11:00:00+00:00,HB_NORTH,8.0700000000000000,-18.8016666666666667
2024-01-12 11:00:00+00:00,2024-01-12 12:00:00+00:00,HB_NORTH,17.5500000000000000,5.8300000000000000
2024-01-12 12:00:00+00:00,2024-01-12 13:00:00+00:00,HB_NORTH,25.0000000000000000,24.7066666666666667
2024-01-12 13:00:00+00:00,2024-01-12 14:00:00+00:00,HB_NORTH,29.5900000000000000,111.8600000000000000
2024-01-12 14:00:00+00:00,2024-01-12 15:00:00+00:00,HB_NORTH,30.3400000000000000,27.8394444444444444
2024-01-12 15:00:00+00:00,2024-01-12 16:00:00+00:00,HB_NORTH,19.6600000000000000,15.2500000000000000
2024-01-12 16:00:00+00:00,2024-01-12 17:00:00+00:00,HB_NORTH,16.9700000000000000,12.2033333333333333
2024-01-12 17:00:00+00:00,2024-01-12 18:00:00+00:00,HB_NORTH,14.6200000000000000,1.5550000000000000
2024-01-12 18:00:00+00:00,2024-01-12 19:00:00+00:00,HB_NORTH,10.2600000000000000,1.4933333333333333
2024-01-12 19:00:00+00:00,2024-01-12 20:00:00+00:00,HB_NORTH,9.7900000000000000,0.37750000000000000000
2024-01-12 20:00:00+00:00,2024-01-12 21:00:00+00:00,HB_NORTH,8.3100000000000000,0.01166666666666666667
2024-01-12 21:00:00+00:00,2024-01-12 22:00:00+00:00,HB_NORTH,9.4800000000000000,-0.35916666666666666667
2024-01-12 22:00:00+00:00,2024-01-12 23:00:00+00:00,HB_NORTH,18.4100000000000000,5.2791666666666667
2024-01-12 23:00:00+00:00,2024-01-13 00:00:00+00:00,HB_NORTH,34.3500000000000000,32.6914285714285714
2024-01-13 00:00:00+00:00,2024-01-13 01:00:00+00:00,HB_NORTH,42.0800000000000000,44.6433333333333333
2024-01-13 01:00:00+00:00,2024-01-13 02:00:00+00:00,HB_NORTH,34.3900000000000000,50.2933333333333333
2024-01-13 02:00:00+00:00,2024-01-13 03:00:00+00:00,HB_NORTH,28.3200000000000000,35.2658333333333333
2024-01-13 03:00:00+00:00,2024-01-13 04:00:00+00:00,HB_NORTH,24.5200000000000000,33.7633333333333333
2024-01-13 04:00:00+00:00,2024-01-13 05:00:00+00:00,HB_NORTH,21.1700000000000000,30.4800000000000000
2024-01-13 05:00:00+00:00,2024-01-13 06:00:00+00:00,HB_NORTH,20.8900000000000000,26.1383333333333333
2024-01-13 06:00:00+00:00,2024-01-13 07:00:00+00:00,HB_NORTH,15.0000000000000000,25.0858333333333333
2024-01-13 07:00:00+00:00,2024-01-13 08:00:00+00:00,HB_NORTH,12.9100000000000000,23.0700000000000000
2024-01-13 08:00:00+00:00,2024-01-13 09:00:00+00:00,HB_NORTH,9.3700000000000000,21.9900000000000000
2024-01-13 09:00:00+00:00,2024-01-13 10:00:00+00:00,HB_NORTH,10.6700000000000000,22.0108333333333333
2024-01-13 10:00:00+00:00,2024-01-13 11:00:00+00:00,HB_NORTH,15.1600000000000000,22.3408333333333333
2024-01-13 11:00:00+00:00,2024-01-13 12:00:00+00:00,HB_NORTH,16.5300000000000000,22.2266666666666667
2024-01-13 12:00:00+00:00,2024-01-13 13:00:00+00:00,HB_NORTH,22.1400000000000000,21.8791666666666667
2024-01-13 13:00:00+00:00,2024-01-13 14:00:00+00:00,HB_NORTH,29.5900000000000000,21.3166666666666667
2024-01-13 14:00:00+00:00,2024-01-13 15:00:00+00:00,HB_NORTH,21.5900000000000000,6.8108333333333333
2024-01-13 15:00:00+00:00,2024-01-13 16:00:00+00:00,HB_NORTH,18.9400000000000000,-0.02916666666666666667
2024-01-13 16:00:00+00:00,2024-01-13 17:00:00+00:00,HB_NORTH,15.5100000000000000,-1.4991666666666667
2024-01-13 17:00:00+00:00,2024-01-13 18:00:00+00:00,HB_NORTH,12.5300000000000000,-4.6000000000000000
2024-01-13 18:00:00+00:00,2024-01-13 19:00:00+00:00,HB_NORTH,9.5700000000000000,-28.1066666666666667
2024-01-13 19:00:00+00:00,2024-01-13 20:00:00+00:00,HB_NORTH,7.0000000000000000,-31.4966666666666667
2024-01-13 20:00:00+00:00,2024-01-13 21:00:00+00:00,HB_NORTH,6.1500000000000000,-30.2833333333333333
2024-01-13 21:00:00+00:00,2024-01-13 22:00:00+00:00,HB_NORTH,5.4800000000000000,-31.2325000000000000
2024-01-13 22:00:00+00:00,2024-01-13 23:00:00+00:00,HB_NORTH,6.1100000000000000,-29.2083333333333333
2024-01-13 23:00:00+00:00,2024-01-14 00:00:00+00:00,HB_NORTH,23.0100000000000000,-8.1575000000000000
2024-01-14 00:00:00+00:00,2024-01-14 01:00:00+00:00,HB_NORTH,28.5800000000000000,3.5633333333333333
2024-01-14 01:00:00+00:00,2024-01-14 02:00:00+00:00,HB_NORTH,28.0500000000000000,5.8125000000000000
2024-01-14 02:00:00+00:00,2024-01-14 03:00:00+00:00,HB_NORTH,31.0200000000000000,8.6433333333333333
2024-01-14 03:00:00+00:00,2024-01-14 04:00:00+00:00,HB_NORTH,38.5900000000000000,13.4150000000000000
2024-01-14 04:00:00+00:00,2024-01-14 05:00:00+00:00,HB_NORTH,30.5900000000000000,8.6440000000000000
2024-01-14 05:00:00+00:00,2024-01-14 06:00:00+00:00,HB_NORTH,32.4200000000000000,11.7141666666666667
2024-01-14 06:00:00+00:00,2024-01-14 07:00:00+00:00,HB_NORTH,36.9600000000000000,11.5233333333333333
2024-01-14 07:00:00+00:00,2024-01-14 08:00:00+00:00,HB_NORTH,40.0600000000000000,19.3620000000000000
2024-01-14 08:00:00+00:00,2024-01-14 09:00:00+00:00,HB_NORTH,50.9500000000000000,25.3054166666666667
2024-01-14 09:00:00+00:00,2024-01-14 10:00:00+00:00,HB_NORTH,68.0300000000000000,36.5608333333333333
2024-01-14 10:00:00+00:00,2024-01-14 11:00:00+00:00,HB_NORTH,72.4700000000000000,51.8825000000000000
2024-01-14 11:00:00+00:00,2024-01-14 12:00:00+00:00,HB_NORTH,59.9800000000000000,58.4041666666666667
2024-01-14 12:00:00+00:00,2024-01-14 13:00:00+00:00,HB_NORTH,74.3100000000000000,72.4958333333333333
2024-01-14 13:00:00+00:00,2024-01-14 14:00:00+00:00,HB_NORTH,82.6500000000000000,79.5416666666666667
2024-01-14 14:00:00+00:00,2024-01-14 15:00:00+00:00,HB_NORTH,83.5000000000000000,87.2258333333333333
2024-01-14 15:00:00+00:00,2024-01-14 16:00:00+00:00,HB_NORTH,78.5600000000000000,105.2820000000000000
2024-01-14 16:00:00+00:00,2024-01-14 17:00:00+00:00,HB_NORTH,76.8400000000000000,122.7420000000000000
2024-01-14 17:00:00+00:00,2024-01-14 18:00:00+00:00,HB_NORTH,73.7600000000000000,122.8583333333333333
2024-01-14 18:00:00+00:00,2024-01-14 19:00:00+00:00,HB_NORTH,75.0000000000000000,136.7441666666666667
2024-01-14 19:00:00+00:00,2024-01-14 20:00:00+00:00,HB_NORTH,67.0300000000000000,95.7283333333333333
2024-01-14 20:00:00+00:00,2024-01-14 21:00:00+00:00,HB_NORTH,62.2500000000000000,87.1825000000000000
2024-01-14 21:00:00+00:00,2024-01-14 22:00:00+00:00,HB_NORTH,62.5500000000000000,77.1366666666666667
2024-01-14 22:00:00+00:00,2024-01-14 23:00:00+00:00,HB_NORTH,70.6600000000000000,88.3041666666666667
2024-01-14 23:00:00+00:00,2024-01-15 00:00:00+00:00,HB_NORTH,100.0600000000000000,108.7466666666666667
2024-01-15 00:00:00+00:00,2024-01-15 01:00:00+00:00,HB_NORTH,110.8200000000000000,96.3325000000000000
2024-01-15 01:00:00+00:00,2024-01-15 02:00:00+00:00,HB_NORTH,105.9000000000000000,94.9425000000000000
2024-01-15 02:00:00+00:00,2024-01-15 03:00:00+00:00,HB_NORTH,106.0500000000000000,95.4291666666666667
2024-01-15 03:00:00+00:00,2024-01-15 04:00:00+00:00,HB_NORTH,100.0000000000000000,101.5300000000000000
2024-01-15 04:00:00+00:00,2024-01-15 05:00:00+00:00,HB_NORTH,79.9200000000000000,104.6825000000000000
2024-01-15 05:00:00+00:00,2024-01-15 06:00:00+00:00,HB_NORTH,76.5000000000000000,113.9505000000000000
2024-01-15 06:00:00+00:00,2024-01-15 07:00:00+00:00,HB_NORTH,150.0000000000000000,115.1516666666666667
2024-01-15 07:00:00+00:00,2024-01-15 08:00:00+00:00,HB_NORTH,119.5300000000000000,143.2858333333333333
2024-01-15 08:00:00+00:00,2024-01-15 09:00:00+00:00,HB_NORTH,137.2200000000000000,137.1540000000000000
2024-01-15 09:00:00+00:00,2024-01-15 10:00:00+00:00,HB_NORTH,150.0000000000000000,170.0158333333333333
2024-01-15 10:00:00+00:00,2024-01-15 11:00:00+00:00,HB_NORTH,212.3400000000000000,191.4525000000000000
